23.01.2019 23:54:04;stage;file;history_win;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES;epoch
24.01.2019 01:22:39;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;3040.0;840.0;356.79347826086956;235.11111111111111;1.49;23330.0;364;14
24.01.2019 01:23:28;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;3770.0;2230.0;423.1896551724138;327.5;6.857142857142857;-5930.0;284;14
24.01.2019 01:28:29;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2500.0;960.0;417.37179487179486;244.0;2.1875;26070.0;316;15
24.01.2019 01:29:19;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;4040.0;2590.0;405.51724137931035;288.8095238095238;1.4504504504504505;-1480.0;284;15
24.01.2019 01:34:23;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;980.0;342.02453987730064;252.89772727272728;6.75;11240.0;339;16
24.01.2019 01:35:12;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2220.0;2590.0;304.52513966480444;273.219512195122;10.868421052631579;-1500.0;384;16
24.01.2019 01:40:17;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;890.0;335.84795321637426;226.37362637362637;4.0;16230.0;353;17
24.01.2019 01:41:06;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;3200.0;1570.0;348.19875776397515;264.6116504854369;1.4440894568690097;1550.0;367;17
24.01.2019 01:46:07;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;790.0;343.8095238095238;204.95;4.9393939393939394;23990.0;389;18
24.01.2019 01:46:57;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2400.0;2590.0;302.13903743315507;277.4429223744292;67.76923076923077;-4260.0;406;18
24.01.2019 01:51:55;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;770.0;329.52095808383234;233.38235294117646;3.3970588235294117;7420.0;371;19
24.01.2019 01:52:45;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2410.0;3210.0;382.88732394366195;308.9542483660131;1.2751322751322751;7100.0;295;19
24.01.2019 01:57:43;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2570.0;1410.0;333.3879781420765;214.11764705882354;0.9295774647887324;28250.0;336;20
24.01.2019 01:58:32;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;4040.0;2590.0;408.54545454545456;293.67088607594934;23.4375;-1460.0;268;20
24.01.2019 02:03:33;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;1070.0;349.6296296296296;229.01162790697674;0.9523809523809523;26690.0;361;21
24.01.2019 02:04:22;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;3130.0;2590.0;402.65625;284.4041450777202;8.934426229508198;-3350.0;321;21
24.01.2019 02:09:24;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;880.0;345.34031413612564;244.51127819548873;0.4035250463821892;33440.0;324;22
24.01.2019 02:10:14;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;3190.0;1300.0;329.8514851485148;262.9268292682927;1.4476190476190476;12730.0;407;22
24.01.2019 02:15:20;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2110.0;750.0;277.54716981132077;213.15151515151516;1.0;23670.0;377;23
24.01.2019 02:16:11;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;4040.0;2590.0;381.151832460733;287.2682926829268;4.0;13910.0;396;23
